----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             156
         AvgPool2d-2            [-1, 6, 14, 14]               0
           Sigmoid-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
         AvgPool2d-5             [-1, 16, 5, 5]               0
           Sigmoid-6             [-1, 16, 5, 5]               0
            Linear-7                  [-1, 120]          48,120
              Tanh-8                  [-1, 120]               0
            Linear-9                   [-1, 84]          10,164
             Tanh-10                   [-1, 84]               0
           Linear-11                   [-1, 10]             850
================================================================
Total params: 61,706
Trainable params: 61,706
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.08
Params size (MB): 0.24
Estimated Total Size (MB): 0.31
----------------------------------------------------------------
Epoch: 0, Validation Top 1 acc: 9.481609344482422
Epoch: 0, Validation Top 5 acc: 51.161048889160156
Epoch: 0, Validation Set Loss: 2.307643175125122
Start training epoch 1
Time, 2019-01-01T16:45:09, Epoch: 1, Batch: 10, Training Loss: 2.3175955057144164, LR: 0.1
Time, 2019-01-01T16:45:10, Epoch: 1, Batch: 20, Training Loss: 2.330446243286133, LR: 0.1
Time, 2019-01-01T16:45:11, Epoch: 1, Batch: 30, Training Loss: 2.297659158706665, LR: 0.1
Time, 2019-01-01T16:45:11, Epoch: 1, Batch: 40, Training Loss: 2.2430073261260985, LR: 0.1
Time, 2019-01-01T16:45:12, Epoch: 1, Batch: 50, Training Loss: 1.9928738236427308, LR: 0.1
Time, 2019-01-01T16:45:13, Epoch: 1, Batch: 60, Training Loss: 1.5222064971923828, LR: 0.1
Time, 2019-01-01T16:45:14, Epoch: 1, Batch: 70, Training Loss: 1.1453745484352111, LR: 0.1
Time, 2019-01-01T16:45:15, Epoch: 1, Batch: 80, Training Loss: 0.9880090594291687, LR: 0.1
Time, 2019-01-01T16:45:16, Epoch: 1, Batch: 90, Training Loss: 0.9504330456256866, LR: 0.1
Time, 2019-01-01T16:45:16, Epoch: 1, Batch: 100, Training Loss: 0.7520317226648331, LR: 0.1
Time, 2019-01-01T16:45:17, Epoch: 1, Batch: 110, Training Loss: 0.6956277310848236, LR: 0.1
Time, 2019-01-01T16:45:18, Epoch: 1, Batch: 120, Training Loss: 0.5762327015399933, LR: 0.1
Time, 2019-01-01T16:45:19, Epoch: 1, Batch: 130, Training Loss: 0.5810738325119018, LR: 0.1
