----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             156
         AvgPool2d-2            [-1, 6, 14, 14]               0
           Sigmoid-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
         AvgPool2d-5             [-1, 16, 5, 5]               0
           Sigmoid-6             [-1, 16, 5, 5]               0
            Linear-7                  [-1, 120]          48,120
              Tanh-8                  [-1, 120]               0
            Linear-9                   [-1, 84]          10,164
             Tanh-10                   [-1, 84]               0
           Linear-11                   [-1, 10]             850
================================================================
Total params: 61,706
Trainable params: 61,706
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.00
Forward/backward pass size (MB): 0.08
Params size (MB): 0.24
Estimated Total Size (MB): 0.31
----------------------------------------------------------------
Epoch: 0, Validation Top 1 acc: 6.926751613616943
Epoch: 0, Validation Top 5 acc: 50.28861618041992
Epoch: 0, Validation Set Loss: 2.3059606552124023
Start training epoch 1
Time, 2019-01-01T21:58:45, Epoch: 1, Batch: 10, Training Loss: 2.324077582359314, LR: 0.1
Time, 2019-01-01T21:58:46, Epoch: 1, Batch: 20, Training Loss: 2.3044925689697267, LR: 0.1
Time, 2019-01-01T21:58:47, Epoch: 1, Batch: 30, Training Loss: 2.298307681083679, LR: 0.1
Time, 2019-01-01T21:58:47, Epoch: 1, Batch: 40, Training Loss: 2.253557014465332, LR: 0.1
Time, 2019-01-01T21:58:48, Epoch: 1, Batch: 50, Training Loss: 1.9834200263023376, LR: 0.1
Time, 2019-01-01T21:58:49, Epoch: 1, Batch: 60, Training Loss: 1.5843263626098634, LR: 0.1
Time, 2019-01-01T21:58:50, Epoch: 1, Batch: 70, Training Loss: 1.0641149044036866, LR: 0.1
Time, 2019-01-01T21:58:50, Epoch: 1, Batch: 80, Training Loss: 0.9223842561244965, LR: 0.1
Time, 2019-01-01T21:58:51, Epoch: 1, Batch: 90, Training Loss: 0.8770721733570099, LR: 0.1
Time, 2019-01-01T21:58:52, Epoch: 1, Batch: 100, Training Loss: 0.7424644768238068, LR: 0.1
Time, 2019-01-01T21:58:53, Epoch: 1, Batch: 110, Training Loss: 0.6946640491485596, LR: 0.1
Time, 2019-01-01T21:58:54, Epoch: 1, Batch: 120, Training Loss: 0.5348972290754318, LR: 0.1
Time, 2019-01-01T21:58:54, Epoch: 1, Batch: 130, Training Loss: 0.5783073902130127, LR: 0.1
Time, 2019-01-01T21:58:55, Epoch: 1, Batch: 140, Training Loss: 0.515510618686676, LR: 0.1
Time, 2019-01-01T21:58:56, Epoch: 1, Batch: 150, Training Loss: 0.5890560656785965, LR: 0.1
Time, 2019-01-01T21:58:57, Epoch: 1, Batch: 160, Training Loss: 0.5159587919712066, LR: 0.1
